CustomerID,Recency,Frequency,Monetary
15619,11,1,337.0
17389,1,34,31852.0
14450,181,3,485.0
15727,17,7,5220.0
15790,11,1,225.0
13285,24,4,2741.0
14570,281,2,218.0
16574,72,1,447.0
13832,20,1,52.0
13623,31,5,756.0
15957,32,1,433.0
16503,107,4,1443.0
17679,53,2,1991.0
17420,51,3,603.0
15447,331,1,156.0
16386,29,2,320.0
18024,153,2,391.0
16861,60,2,173.0
16339,285,1,111.0
12940,55,2,923.0
14465,247,3,1062.0
15967,24,2,427.0
14423,219,1,265.0
18161,16,5,1626.0
14536,260,1,175.0
18218,212,2,665.0
16500,5,6,400.0
18282,8,2,181.0
13261,269,2,945.0
14148,234,1,158.0
15100,334,3,875.0
14075,5,3,944.0
14514,62,3,1061.0
16916,24,2,583.0
15004,148,1,1265.0
17172,79,1,317.0
15254,128,1,302.0
15738,19,16,4819.0
14377,192,2,617.0
17837,43,8,1606.0
17809,17,12,5416.0
13601,46,2,703.0
14289,9,6,919.0
16791,30,7,1754.0
15655,244,1,562.0
15296,51,6,3694.0
17754,1,5,1787.0
18221,23,5,1045.0
13875,54,5,1805.0
16924,22,3,857.0
14420,100,1,387.0
14997,47,3,548.0
14837,90,4,1654.0
13060,254,1,307.0
14714,25,1,162.0
17775,255,1,56.0
17708,188,2,269.0
16283,6,5,1587.0
17783,73,2,290.0
13483,66,1,140.0
13207,16,2,249.0
17044,26,1,949.0
16680,44,1,184.0
16224,58,4,1298.0
17223,311,2,432.0
15382,15,6,5982.0
13898,326,1,157.0
17193,36,7,1701.0
15604,53,1,218.0
14315,45,6,2501.0
16828,94,2,129.0
13188,12,1,115.0
14958,148,3,504.0
18043,25,3,565.0
17712,45,1,524.0
13508,244,1,111.0
14944,30,12,5896.0
14713,10,11,2690.0
15292,202,1,186.0
13225,4,7,6466.0
17190,59,2,444.0
14779,281,3,390.0
16999,24,2,486.0
17950,73,3,487.0
16117,190,1,235.0
16706,38,3,534.0
15740,50,1,155.0
16232,44,4,994.0
15429,27,2,405.0
16565,365,1,174.0
15535,174,4,540.0
13923,54,1,350.0
14770,233,2,881.0
16094,12,4,1077.0
13504,65,1,300.0
13329,32,2,787.0
14660,87,2,290.0
17836,48,1,109.0
17154,76,1,331.0
13398,193,1,460.0
14752,44,1,390.0
15462,95,3,235.0
13468,2,37,5737.0
16027,92,6,933.0
17346,4,15,2691.0
16549,11,10,4200.0
15070,373,1,106.0
15026,81,3,474.0
15146,165,2,1331.0
16295,10,4,1336.0
16985,18,10,5483.0
17438,254,1,389.0
16526,172,1,293.0
16506,20,2,90.0
13500,24,3,1172.0
15594,16,5,1783.0
14124,85,1,419.0
16119,9,2,423.0
16510,373,1,249.0
15221,367,1,403.0
14054,66,1,95.0
14284,31,2,600.0
13313,23,5,1565.0
16255,17,8,2631.0
14030,19,8,2382.0
15827,74,14,1844.0
17613,23,14,4589.0
15983,23,4,1476.0
17677,2,30,16376.0
14477,20,4,1310.0
15584,24,4,731.0
17213,41,7,2805.0
15781,26,3,347.0
14245,220,2,1708.0
15216,88,1,97.0
16601,41,1,246.0
13544,40,2,290.0
17904,22,1,195.0
16505,32,1,779.0
16257,177,1,47.0
14532,237,4,940.0
15634,18,1,246.0
16766,274,2,1150.0
14760,298,1,90.0
16954,1,9,2086.0
17924,12,7,2964.0
17396,40,8,7331.0
16835,129,2,183.0
16800,12,1,1215.0
15157,4,3,1931.0
17502,10,4,690.0
15348,73,1,159.0
17462,61,2,680.0
17392,307,2,463.0
18174,8,1,104.0
16947,236,1,407.0
15270,16,7,2382.0
17972,242,1,137.0
15973,367,1,307.0
15904,9,1,167.0
17969,167,2,229.0
17926,134,2,400.0
15164,69,3,850.0
14437,366,1,62.0
18014,29,1,168.0
16317,120,3,1350.0
15091,68,1,479.0
17265,139,2,564.0
17774,97,4,1238.0
17525,360,1,424.0
16648,43,1,291.0
14085,3,18,4495.0
13494,312,1,319.0
13003,106,3,150.0
16813,9,10,1686.0
13516,22,3,1393.0
17554,2,5,1963.0
15491,96,6,3110.0
13046,31,2,634.0
17430,33,2,266.0
17639,277,1,110.0
17253,19,1,180.0
14658,6,2,248.0
15658,191,5,1029.0
13967,146,1,81.0
15093,19,6,4610.0
13720,117,4,801.0
17588,101,3,1244.0
15557,29,1,475.0
15497,18,2,1261.0
13994,4,6,2331.0
16801,164,4,1628.0
14332,23,3,866.0
16968,5,2,442.0
13751,289,1,298.0
17388,78,4,1260.0
14064,30,5,1359.0
14801,62,1,201.0
16738,298,1,4.0
14589,372,1,40.0
16913,291,1,113.0
15850,20,2,240.0
13368,257,2,626.0
18030,5,2,232.0
14336,17,4,1617.0
18193,166,1,246.0
17397,23,2,702.0
16274,374,1,366.0
16125,368,1,291.0
18105,38,1,114.0
18085,331,2,690.0
15716,146,4,1130.0
14715,25,4,876.0
13170,27,1,120.0
13066,25,2,480.0
15637,53,1,225.0
17347,87,1,229.0
12837,174,1,136.0
12854,79,3,1335.0
13594,53,1,399.0
16721,263,1,300.0
14101,74,6,5979.0
16930,27,3,389.0
17001,1,11,4007.0
14410,93,9,1112.0
15844,47,1,129.0
15116,18,4,1355.0
16189,16,2,214.0
13220,79,4,822.0
16532,18,3,6748.0
14044,27,4,661.0
15130,170,1,332.0
17353,130,2,1744.0
13782,13,6,919.0
13960,22,2,232.0
16671,29,3,1693.0
14501,184,2,251.0
13745,163,1,300.0
14703,15,1,322.0
15398,17,2,1350.0
14180,11,25,4784.0
13027,114,6,6912.0
14525,20,9,4352.0
17059,30,5,3107.0
14555,58,2,328.0
17678,264,1,300.0
15795,150,1,615.0
14554,11,4,2388.0
13109,60,2,798.0
18240,47,1,423.0
16244,212,2,1526.0
15840,59,2,357.0
13904,38,2,332.0
15060,9,4,305.0
17297,18,1,133.0
18071,258,2,456.0
17647,66,1,134.0
15253,17,5,918.0
13726,39,2,1081.0
14733,17,12,9600.0
14367,9,16,9339.0
16839,9,34,16599.0
16455,64,7,1844.0
14056,2,23,8296.0
16265,10,9,5468.0
17955,199,4,557.0
17081,26,2,288.0
15234,277,1,198.0
17147,23,4,1724.0
14776,52,11,2537.0
17890,323,2,612.0
18278,74,1,175.0
14117,144,1,90.0
13045,100,1,307.0
16366,19,1,332.0
15096,43,1,221.0
14687,107,1,629.0
15503,363,1,154.0
14642,59,1,96.0
12948,17,7,2082.0
13104,4,6,1099.0
15105,19,7,2298.0
13166,284,1,424.0
16053,33,2,1522.0
14177,87,4,565.0
14141,3,4,917.0
12885,64,3,1177.0
16043,38,4,780.0
15923,373,1,130.0
12913,5,5,2485.0
15733,283,1,163.0
14647,202,1,243.0
17542,270,1,174.0
13873,120,3,392.0
15531,9,2,2023.0
16684,5,28,66664.0
15062,72,4,998.0
16012,36,3,1423.0
15024,10,10,1680.0
13139,17,7,5075.0
14419,11,6,1068.0
15219,177,1,307.0
15260,101,7,1814.0
15855,137,5,717.0
16774,68,4,665.0
16175,95,4,1043.0
17148,52,1,127.0
17463,17,5,1916.0
14496,312,2,540.0
18248,123,2,811.0
18113,369,1,76.0
15262,324,1,180.0
13052,213,1,351.0
17070,115,1,313.0
15426,20,5,1468.0
14062,10,12,10477.0
16553,164,12,5722.0
17637,32,2,552.0
16834,228,1,411.0
16326,6,14,3141.0
12868,186,6,1620.0
16885,16,3,481.0
15132,19,5,983.0
15073,10,3,1056.0
13946,80,3,562.0
18096,12,3,923.0
18147,46,2,180.0
13523,34,5,3974.0
15370,41,7,2399.0
17737,10,2,169.0
17244,54,1,954.0
13301,104,4,627.0
15071,94,2,984.0
17709,170,1,139.0
16178,139,1,198.0
15263,107,1,157.0
16056,46,1,669.0
14644,68,2,832.0
13081,12,11,28385.0
13040,9,2,680.0
15906,20,7,1582.0
15841,73,4,1230.0
17014,9,3,592.0
16015,4,3,707.0
17549,24,2,149.0
14140,4,2,935.0
14720,6,3,666.0
17312,139,3,646.0
17584,8,2,1249.0
13416,44,2,714.0
16000,3,3,12395.0
16078,284,1,79.0
17053,131,1,500.0
16352,18,2,501.0
16338,158,1,217.0
13497,283,2,349.0
15203,26,6,1865.0
15918,191,2,338.0
17813,15,5,1787.0
15599,27,2,762.0
16150,43,5,2069.0
13524,41,5,680.0
16571,27,3,1425.0
13838,6,4,699.0
16266,74,7,867.0
15485,31,3,2580.0
14961,11,9,7077.0
17573,30,3,383.0
13038,81,3,911.0
15051,24,3,1405.0
16243,34,2,415.0
17985,23,1,642.0
16969,40,3,649.0
13992,31,1,78.0
13347,71,1,342.0
17496,359,1,271.0
17895,45,1,99.0
12893,31,1,189.0
15405,190,1,350.0
12951,9,6,1070.0
15920,155,4,170.0
15563,23,4,1407.0
17071,29,9,2437.0
14808,40,8,2756.0
14096,5,17,65014.0
14287,9,3,177.0
17793,26,1,326.0
13730,136,2,754.0
15345,46,1,397.0
15440,55,3,390.0
14333,68,1,418.0
17928,46,2,214.0
16431,214,3,652.0
15083,257,1,89.0
14375,186,1,260.0
14888,208,1,378.0
15363,373,1,327.0
16413,57,1,264.0
17811,5,39,7899.0
15454,363,1,184.0
16303,26,3,5368.0
13477,38,6,1453.0
18170,34,3,986.0
17345,16,4,543.0
15224,359,2,323.0
17545,44,3,652.0
17029,111,2,716.0
14345,39,1,110.0
13685,3,7,3113.0
17423,47,2,697.0
14871,4,4,529.0
18209,29,1,140.0
12882,10,2,1464.0
16240,25,2,3733.0
15267,23,5,1718.0
18088,62,1,168.0
13372,90,1,381.0
17259,149,2,606.0
16134,22,2,619.0
16370,83,4,1331.0
15636,90,2,723.0
16698,227,2,1998.0
13426,1,10,3640.0
14292,8,9,4874.0
17966,38,5,1099.0
15909,174,1,192.0
13644,17,4,2635.0
14128,61,2,637.0
17331,124,1,175.0
14565,96,4,3109.0
15938,113,5,406.0
13422,65,1,2631.0
16383,75,2,668.0
14193,68,2,856.0
12895,43,2,372.0
16921,62,1,173.0
15895,150,1,178.0
14813,370,2,156.0
16114,171,1,138.0
13584,307,1,143.0
17603,79,1,393.0
17504,207,9,3010.0
18075,24,10,2618.0
12841,5,25,4045.0
16131,52,6,3513.0
12873,283,1,374.0
15111,30,3,1574.0
17883,4,4,678.0
14462,67,11,2017.0
14317,65,1,511.0
14102,6,5,1364.0
16048,374,2,254.0
17984,146,1,154.0
18053,71,1,302.0
14105,240,1,1272.0
17536,178,1,78.0
18050,360,1,75.0
13694,4,50,65043.0
16076,4,10,2247.0
12935,3,7,2172.0
14830,54,1,198.0
15696,34,8,2759.0
17685,17,7,3205.0
14587,19,9,1631.0
15516,45,3,63.0
14523,109,1,242.0
12881,276,1,299.0
17566,9,2,913.0
15974,40,7,3455.0
16515,53,5,1638.0
13101,235,1,102.0
16253,67,2,3682.0
16242,9,7,3634.0
16491,47,1,735.0
14036,285,1,630.0
15667,40,1,299.0
13117,22,8,988.0
17400,127,5,2150.0
18036,33,3,409.0
15815,64,5,2102.0
15152,10,13,4778.0
16201,4,4,1887.0
16401,2,12,4119.0
17706,5,17,10546.0
17386,8,6,2688.0
16693,69,2,488.0
16230,190,2,550.0
16948,139,3,434.0
16316,65,8,2959.0
17503,3,2,560.0
17869,108,5,431.0
17486,262,1,398.0
15228,67,4,3395.0
15386,187,1,394.0
14669,242,3,1279.0
16769,261,1,384.0
15593,71,1,199.0
13431,68,2,1273.0
15856,5,27,16411.0
13248,125,2,466.0
14041,267,1,146.0
14598,45,1,224.0
15940,312,1,36.0
18062,174,3,725.0
16057,17,7,2279.0
17974,25,3,741.0
16469,24,4,661.0
16483,193,1,139.0
16682,5,5,1026.0
16159,282,1,349.0
14860,20,1,173.0
16984,89,2,4512.0
16475,89,4,546.0
15540,12,1,216.0
13781,251,1,127.0
15053,5,3,703.0
15922,374,1,370.0
13297,8,4,2097.0
14351,165,1,51.0
15950,32,4,1783.0
14824,11,4,1130.0
15570,8,12,4195.0
13488,18,13,9008.0
14513,101,3,457.0
16148,297,1,76.0
16394,57,5,1555.0
17204,176,4,1568.0
18129,244,1,115.0
13122,95,2,929.0
15438,132,1,160.0
14904,3,2,1029.0
15543,289,1,128.0
14364,109,8,3723.0
14606,2,93,12248.0
16073,298,1,122.0
14032,3,11,2975.0
13344,68,3,2556.0
17720,27,4,1199.0
16609,16,7,5544.0
17692,128,4,744.0
13589,15,2,383.0
14608,5,4,1787.0
16470,52,4,768.0
16348,33,7,1483.0
17852,12,2,119.0
17715,201,1,326.0
14327,164,1,313.0
18169,61,1,202.0
17019,12,4,1286.0
14422,1,6,4277.0
16145,9,11,3823.0
13098,2,28,28971.0
17466,11,2,769.0
15835,45,4,962.0
17730,4,13,5309.0
16323,197,1,208.0
13975,32,6,2551.0
16473,165,3,319.0
14507,24,6,1390.0
13988,20,6,4161.0
12965,90,1,780.0
17585,110,4,1146.0
18191,262,1,208.0
15452,30,3,541.0
14870,262,1,328.0
15364,96,2,912.0
16561,6,2,513.0
15925,195,1,208.0
17094,323,1,303.0
16928,81,17,2869.0
16775,11,11,1714.0
14051,1,23,15619.0
18102,1,60,259665.0
17819,72,7,3703.0
14415,2,13,5925.0
14112,23,7,2946.0
17785,54,1,134.0
15882,199,4,515.0
17242,109,2,1138.0
12980,158,9,7376.0
18252,51,2,531.0
15532,26,4,1604.0
17176,202,1,309.0
12962,8,2,267.0
14775,59,3,1013.0
14035,29,5,1435.0
17871,205,1,159.0
13228,82,1,358.0
17805,74,1,511.0
13295,360,1,202.0
13132,262,1,77.0
15206,11,4,420.0
14013,111,3,474.0
12910,24,8,3074.0
16934,55,2,953.0
