CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_ScoreGroup,Loyalty
16678,3,163,3111.0,1,1,1,3,111,Platinum
17735,3,690,13207.0,1,1,1,3,111,Platinum
17139,16,478,10750.0,1,1,1,3,111,Platinum
13408,2,478,28127.0,1,1,1,3,111,Platinum
17389,1,213,31852.0,1,1,1,3,111,Platinum
14659,9,253,2544.0,1,1,1,3,111,Platinum
17738,20,97,1884.0,1,1,1,3,111,Platinum
15953,16,98,1670.0,1,1,1,3,111,Platinum
13418,12,304,6157.0,1,1,1,3,111,Platinum
16327,15,319,3883.0,1,1,1,3,111,Platinum
14032,3,143,2975.0,1,1,1,3,111,Platinum
14031,8,250,17297.0,1,1,1,3,111,Platinum
15465,20,97,7364.0,1,1,1,3,111,Platinum
16326,6,319,3141.0,1,1,1,3,111,Platinum
13426,1,157,3640.0,1,1,1,3,111,Platinum
14030,19,243,2382.0,1,1,1,3,111,Platinum
14961,11,312,7077.0,1,1,1,3,111,Platinum
14049,17,488,5741.0,1,1,1,3,111,Platinum
16790,4,93,1555.0,1,1,1,3,111,Platinum
14051,1,210,15619.0,1,1,1,3,111,Platinum
18041,12,472,4203.0,1,1,1,3,111,Platinum
16942,13,281,1925.0,1,1,1,3,111,Platinum
17728,4,165,2883.0,1,1,1,3,111,Platinum
15444,10,219,1439.0,1,1,1,3,111,Platinum
17491,2,109,3575.0,1,1,1,3,111,Platinum
14062,10,111,10477.0,1,1,1,3,111,Platinum
15453,2,286,1398.0,1,1,1,3,111,Platinum
17744,4,136,2321.0,1,1,1,3,111,Platinum
17147,23,81,1724.0,1,1,1,3,111,Platinum
17730,4,218,5309.0,1,1,1,3,111,Platinum
14057,24,284,6242.0,1,1,1,3,111,Platinum
14056,2,1106,8296.0,1,1,1,3,111,Platinum
14649,5,199,1425.0,1,1,1,3,111,Platinum
14963,10,198,1494.0,1,1,1,3,111,Platinum
14653,2,237,1965.0,1,1,1,3,111,Platinum
13394,2,155,2524.0,1,1,1,3,111,Platinum
14060,5,202,6155.0,1,1,1,3,111,Platinum
16353,4,94,6677.0,1,1,1,3,111,Platinum
17750,6,193,1790.0,1,1,1,3,111,Platinum
13435,6,101,3816.0,1,1,1,3,111,Platinum
13985,5,351,7108.0,1,1,1,3,111,Platinum
14673,4,74,1739.0,1,1,1,3,111,Platinum
15983,23,113,1476.0,1,1,1,3,111,Platinum
15484,2,188,3611.0,1,1,1,3,111,Platinum
16295,10,79,1336.0,1,1,1,3,111,Platinum
14907,4,165,3512.0,1,1,1,3,111,Platinum
17975,16,296,4509.0,1,1,1,3,111,Platinum
16293,22,118,2260.0,1,1,1,3,111,Platinum
15984,3,270,2863.0,1,1,1,3,111,Platinum
14688,8,327,5662.0,1,1,1,3,111,Platinum
16813,9,449,1686.0,1,1,1,3,111,Platinum
14903,22,355,2836.0,1,1,1,3,111,Platinum
13488,18,422,9008.0,1,1,1,3,111,Platinum
16283,6,166,1587.0,1,1,1,3,111,Platinum
17131,6,134,2478.0,1,1,1,3,111,Platinum
13471,2,260,2550.0,1,1,1,3,111,Platinum
17490,1,76,2095.0,1,1,1,3,111,Platinum
13468,2,302,5737.0,1,1,1,3,111,Platinum
13988,20,234,4161.0,1,1,1,3,111,Platinum
13437,15,167,3427.0,1,1,1,3,111,Platinum
17754,1,92,1787.0,1,1,1,3,111,Platinum
17757,2,741,5665.0,1,1,1,3,111,Platinum
17758,20,412,3476.0,1,1,1,3,111,Platinum
13448,17,195,3554.0,1,1,1,3,111,Platinum
14005,10,84,2871.0,1,1,1,3,111,Platinum
15615,11,423,10463.0,1,1,1,3,111,Platinum
16794,2,285,1238.0,1,1,1,3,111,Platinum
16938,9,241,2762.0,1,1,1,3,111,Platinum
16800,12,164,1215.0,1,1,1,3,111,Platinum
13995,16,86,1416.0,1,1,1,3,111,Platinum
13458,8,382,9669.0,1,1,1,3,111,Platinum
13994,4,155,2331.0,1,1,1,3,111,Platinum
15482,16,98,11054.0,1,1,1,3,111,Platinum
14667,11,573,9295.0,1,1,1,3,111,Platinum
17086,8,96,2063.0,1,1,1,3,111,Platinum
13999,11,208,3927.0,1,1,1,3,111,Platinum
15443,2,382,3264.0,1,1,1,3,111,Platinum
14071,4,324,1457.0,1,1,1,3,111,Platinum
16358,2,109,2044.0,1,1,1,3,111,Platinum
15039,10,1502,20075.0,1,1,1,3,111,Platinum
13285,24,187,2741.0,1,1,1,3,111,Platinum
17700,17,142,2549.0,1,1,1,3,111,Platinum
15034,16,394,4337.0,1,1,1,3,111,Platinum
14135,2,134,4703.0,1,1,1,3,111,Platinum
15033,5,510,2614.0,1,1,1,3,111,Platinum
18077,9,227,2658.0,1,1,1,3,111,Platinum
14132,3,200,3586.0,1,1,1,3,111,Platinum
15903,10,74,5127.0,1,1,1,3,111,Platinum
18075,24,142,2618.0,1,1,1,3,111,Platinum
17705,4,103,1841.0,1,1,1,3,111,Platinum
16379,5,108,2163.0,1,1,1,3,111,Platinum
14125,11,167,2755.0,1,1,1,3,111,Platinum
16779,3,333,10656.0,1,1,1,3,111,Platinum
13305,5,81,2005.0,1,1,1,3,111,Platinum
14146,9,210,4210.0,1,1,1,3,111,Platinum
15898,2,86,1403.0,1,1,1,3,111,Platinum
15044,20,453,7758.0,1,1,1,3,111,Platinum
16393,3,330,3061.0,1,1,1,3,111,Platinum
16983,13,148,1942.0,1,1,1,3,111,Platinum
16979,4,89,1859.0,1,1,1,3,111,Platinum
16401,2,186,4119.0,1,1,1,3,111,Platinum
18092,3,89,9070.0,1,1,1,3,111,Platinum
13263,2,1677,7537.0,1,1,1,3,111,Platinum
17686,8,286,5786.0,1,1,1,3,111,Platinum
13266,12,187,3840.0,1,1,1,3,111,Platinum
16782,11,190,2316.0,1,1,1,3,111,Platinum
13267,3,211,4535.0,1,1,1,3,111,Platinum
13269,2,316,5360.0,1,1,1,3,111,Platinum
16775,11,158,1714.0,1,1,1,3,111,Platinum
17364,1,411,4495.0,1,1,1,3,111,Platinum
15051,24,143,1405.0,1,1,1,3,111,Platinum
17858,6,199,5181.0,1,1,1,3,111,Platinum
17368,24,111,1917.0,1,1,1,3,111,Platinum
15046,10,206,5233.0,1,1,1,3,111,Platinum
13268,18,440,3240.0,1,1,1,3,111,Platinum
15906,20,150,1582.0,1,1,1,3,111,Platinum
