CustomerID,Recency,Frequency,Monetary
17420,51,30,598.8299999999999
16503,107,84,1431.93
15727,17,302,5178.96
17389,1,213,31833.679999999993
15447,331,9,155.17
14450,181,40,483.25
13623,31,81,747.7800000000001
13285,24,187,2709.1199999999994
16339,285,20,109.95000000000002
14570,281,29,218.05999999999992
16386,29,88,317.2
16861,60,6,173.76
18024,153,21,389.78000000000003
12940,55,99,913.5400000000002
17679,53,30,1992.1100000000006
16574,72,28,451.43999999999977
15957,32,42,428.88999999999993
13832,20,3,52.199999999999996
15619,11,3,336.40000000000003
15790,11,35,220.84999999999997
15100,334,3,876.0
16916,24,143,576.2599999999999
14514,62,73,1055.35
16500,5,11,400.86
18161,16,80,1618.69
15967,24,84,418.83000000000004
14465,247,130,1058.62
13261,269,9,944.1
18218,212,21,662.08
14075,5,43,942.26
14536,260,19,171.8
14148,234,3,157.2
14423,219,3,265.2
15004,148,158,1246.3199999999995
15254,128,18,300.36000000000007
18282,8,12,178.05
17172,79,15,317.76
17809,17,61,5411.91
15738,19,173,4812.419999999998
16791,30,320,1721.7799999999993
15296,51,194,3672.8599999999997
17708,188,35,267.08
13875,54,104,1786.79
14289,9,47,911.2600000000001
14377,192,11,617.05
17754,1,92,1772.2600000000002
17775,255,3,56.4
13060,254,15,307.53000000000003
17783,73,67,283.47
15655,244,34,560.67
18221,23,64,1041.61
13601,46,99,693.3199999999999
16283,6,166,1570.8099999999995
14837,90,108,1649.5000000000002
14997,47,26,546.2
17837,43,169,1593.38
13207,16,8,250.26000000000005
14420,100,29,387.52
16924,22,83,846.7500000000001
13483,66,10,140.34000000000003
16680,44,10,183.70000000000002
17044,26,6,948.48
14714,25,10,160.19
17223,311,49,426.78999999999996
18043,25,121,559.51
13898,326,12,155.93
15382,15,302,5955.709999999999
14315,45,101,2481.1299999999997
16224,58,96,1295.2999999999997
14958,148,42,499.67999999999995
13508,244,12,110.97
17193,36,32,1699.3
16828,94,8,128.5
15604,53,17,216.39000000000001
17712,45,29,522.91
13188,12,2,114.60000000000001
13329,32,17,788.9999999999999
17950,73,71,482.20000000000005
14713,10,339,2666.359999999999
16565,365,3,173.7
13225,4,32,6463.84
15535,174,75,536.4
14779,281,41,386.1499999999999
14770,233,52,876.4200000000001
14944,30,170,5900.25
16094,12,63,1078.2299999999998
16232,44,37,990.88
17190,59,19,444.74
15292,202,25,180.93999999999997
13398,193,26,457.3400000000001
16117,190,30,232.21
16706,38,123,531.35
14660,87,30,285.73999999999995
15429,27,82,397.35
17154,76,23,329.34000000000003
16999,24,23,484.82
13504,65,22,295.93
13923,54,20,351.13000000000005
15740,50,9,154.88000000000002
17836,48,24,110.21
14752,44,5,389.63999999999993
17346,4,500,2676.5599999999995
13468,2,302,5704.969999999999
15070,373,1,106.2
16510,373,13,248.10000000000002
15221,367,5,403.25
16985,18,120,5464.12
16549,11,981,4154.640000000001
16027,92,16,934.62
15146,165,91,1327.1600000000005
15026,81,61,469.0
17438,254,17,388.45000000000005
15594,16,103,1771.7799999999995
15462,95,11,234.60000000000002
16526,172,15,290.35999999999996
13500,24,65,1166.77
14124,85,5,419.58000000000004
16119,9,16,423.36
14054,66,6,92.46
16295,10,79,1328.5499999999997
16506,20,3,90.30000000000001
15983,23,113,1475.0200000000004
15827,74,115,1836.0899999999997
17677,2,304,16363.230000000003
17213,41,157,2781.23
14030,19,243,2360.0899999999997
16255,17,270,2619.9100000000003
13313,23,78,1555.32
15781,26,20,345.46000000000004
17613,23,312,4559.149999999999
14477,20,10,1309.6
14245,220,108,1693.4499999999998
13544,40,87,291.4100000000001
16257,177,2,46.95
15584,24,123,725.1099999999999
15216,88,2,96.6
14284,31,32,595.25
16601,41,31,244.79999999999995
16505,32,4,777.6
17904,22,38,191.66999999999993
17924,12,31,2962.4999999999995
16835,129,10,180.85
17396,40,27,7330.8
16954,1,54,2085.08
15157,4,125,1936.07
17392,307,62,457.91
14532,237,64,932.8499999999999
14760,298,5,89.2
17462,61,27,675.69
16766,274,34,1145.6
16947,236,21,406.48000000000013
15348,73,9,158.03999999999996
17502,10,28,689.0999999999999
15634,18,15,243.55
16800,12,164,1201.4900000000002
18174,8,1,104.0
15973,367,4,307.82
14437,366,5,63.0
17969,167,14,228.2
17525,360,9,422.70000000000005
15164,69,103,843.0499999999998
15270,16,41,2379.49
17774,97,156,1225.41
16317,120,69,1341.65
17972,242,31,136.04
17926,134,21,397.29
17265,139,127,562.8999999999999
15091,68,30,480.71
16648,43,19,290.65999999999997
18014,29,32,166.42000000000002
15904,9,30,164.67999999999998
15658,191,48,1024.1000000000001
14085,3,450,4448.540000000001
17430,33,14,265.76
13494,312,18,316.26
17639,277,7,108.5
13046,31,35,629.31
13516,22,44,1389.4099999999999
15491,96,154,3100.0899999999997
13003,106,6,149.05
16813,9,449,1692.9800000000002
17554,2,88,1952.4499999999998
13967,146,2,80.7
14658,6,29,247.15
17253,19,18,178.26
15093,19,108,4597.02
14589,372,3,39.75
15497,18,15,1262.2
16738,298,1,3.75
16913,291,8,113.44000000000001
13751,289,9,296.24999999999994
17388,78,15,1259.5600000000002
14064,30,80,1353.7399999999998
16801,164,76,1619.73
13720,117,43,799.9000000000001
17588,101,23,1240.2
13994,4,155,2313.14
14332,23,26,866.31
16968,5,31,439.43000000000006
14801,62,59,193.1399999999999
15557,29,20,473.65
18085,331,29,689.95
16274,374,67,357.94999999999993
15716,146,118,1118.81
16125,368,13,289.35
13368,257,29,623.4
14715,25,71,867.3799999999999
12854,79,110,1324.5
14336,17,90,1614.9100000000003
16721,263,37,292.46999999999997
12837,174,12,134.1
